estadoendcontratado;num_contratos;valor_total;valor_medio;num_fornecedores;percentual_valor
PE;5975;23508301339.69;7974322.03;1559;93.62
SP;572;790009516.75;3122567.26;216;3.15
CE;50;166484010.19;9793177.07;27;0.66
PA;70;118992095.9;1802910.54;7;0.47
pe;24;107790171.82;11976685.76;5;0.43
BA;71;55531260.62;4271635.43;27;0.22
PR;112;47538866.12;1033453.61;48;0.19
AL;39;44585407.08;2026609.41;12;0.18
PB;105;42622953.21;1039584.22;34;0.17
Pe;2;34028654.07;34028654.07;2;0.14
MG;161;33715506.87;443625.09;57;0.13
ES;36;33044635.0;4130579.38;20;0.13
RJ;133;26095744.59;790780.14;55;0.1
SE;12;24887527.25;12443763.62;7;0.1
DF;92;22066988.73;459728.93;40;0.09
ce;30;16124412.72;701061.42;1;0.06
SC;45;12697364.12;552059.31;30;0.05
RS;63;9943023.62;497151.18;25;0.04
rj;4;5476350.4;1825450.13;1;0.02
RN;79;2692024.24;224335.35;19;0.01
GO;22;2181318.23;436263.65;17;0.01
AM;12;1972215.14;328702.52;3;0.01
PI;3;1800000.0;1800000.0;3;0.01
MT;3;1643657.97;1643657.97;3;0.01
sp;1;249900.0;249900.0;1;0.0
RH;1;160137.49;160137.49;1;0.0
TO;6;121000.0;121000.0;4;0.0
MS;5;102866.97;102866.97;5;0.0
E;3;31785.21;31785.21;1;0.0
MA;1;0.0;;1;0.0
EX;3;0.0;;2;0.0
AP;1;0.0;;1;0.0
AC;1;0.0;;1;0.0
